threads,scheduling,work_stealing,mode,iteration,query,time_seconds,bytes_per_second,tuples_per_second
8,PER_THREAD_ROUND_ROBIN,false,memory,2,YSB_memory,7.670705,131231804.63855669,1303661.1367534015
8,PER_THREAD_ROUND_ROBIN,false,memory,3,YSB_memory,7.473297,134698307.85528797,1338097.49565687
8,PER_THREAD_ROUND_ROBIN,true,memory,1,YSB_memory,7.768306,129583008.18737058,1287281.9376579656
8,PER_THREAD_ROUND_ROBIN,true,memory,2,YSB_memory,8.300214,121278856.18370803,1204788.213894244
8,PER_THREAD_ROUND_ROBIN,true,memory,3,YSB_memory,7.692123,130866401.90230969,1300031.2137494422
8,PER_THREAD_SMALLEST_QUEUE,false,memory,1,YSB_memory,12.830928,78454220.9261871,779366.8548370001
8,PER_THREAD_SMALLEST_QUEUE,false,memory,2,YSB_memory,13.01028,77372697.58990583,768622.9658393209
8,PER_THREAD_SMALLEST_QUEUE,false,memory,3,YSB_memory,12.914497,77946547.97627813,774323.6147718335
8,PER_THREAD_SMALLEST_QUEUE,true,memory,1,YSB_memory,13.326406,75537279.8937688,750389.865054389
8,PER_THREAD_SMALLEST_QUEUE,true,memory,2,YSB_memory,13.34473,75433557.66658449,749359.4849802131
8,PER_THREAD_SMALLEST_QUEUE,true,memory,3,YSB_memory,13.34683,75421688.89541562,749241.580210432
16,GLOBAL_QUEUE,false,memory,1,YSB_memory,7.058835,142607166.763354,1416664.3645870741
16,GLOBAL_QUEUE,false,memory,2,YSB_memory,7.357436,136819465.36809835,1359169.1453381313
16,GLOBAL_QUEUE,false,memory,3,YSB_memory,7.531394,133659248.20823343,1327775.4423683053
16,PER_THREAD_ROUND_ROBIN,false,memory,1,YSB_memory,7.115373,141474025.32516566,1405407.699638515
16,PER_THREAD_ROUND_ROBIN,false,memory,2,YSB_memory,7.039017,143008670.1026578,1420652.9121893013
16,PER_THREAD_ROUND_ROBIN,false,memory,3,YSB_memory,7.113688,141507535.89418036,1405740.594751977
16,PER_THREAD_ROUND_ROBIN,true,memory,1,YSB_memory,7.542885,133455628.71500759,1325752.6795118845
16,PER_THREAD_ROUND_ROBIN,true,memory,2,YSB_memory,7.398755,136055384.99382666,1351578.7453429664
16,PER_THREAD_ROUND_ROBIN,true,memory,3,YSB_memory,7.218596,139451004.04566208,1385310.9385814085
16,PER_THREAD_SMALLEST_QUEUE,false,memory,1,YSB_memory,13.217144,76161722.98644851,756593.1036235968
16,PER_THREAD_SMALLEST_QUEUE,false,memory,2,YSB_memory,13.330632,75513333.50136738,750151.9807913083
16,PER_THREAD_SMALLEST_QUEUE,false,memory,3,YSB_memory,12.389928,81246675.52547522,807107.1922290429
16,PER_THREAD_SMALLEST_QUEUE,true,memory,1,YSB_memory,13.591863,74061992.826149,735734.3139788858
16,PER_THREAD_SMALLEST_QUEUE,true,memory,2,YSB_memory,13.61775,73921202.84187917,734335.7015659709
16,PER_THREAD_SMALLEST_QUEUE,true,memory,3,YSB_memory,13.641622,73791845.28056854,733050.6592251273
