threads,scheduling,work_stealing,mode,iteration,query,time_seconds,bytes_per_second,tuples_per_second
8,PER_THREAD_ROUND_ROBIN,false,memory,2,YSB_memory,6.047823,166446746.20933846,1653487.544195655
8,PER_THREAD_ROUND_ROBIN,false,memory,3,YSB_memory,5.892474,170834943.0137494,1697080.0380281694
8,PER_THREAD_ROUND_ROBIN,true,memory,1,YSB_memory,5.612985,179341377.18166003,1781583.2395775153
8,PER_THREAD_ROUND_ROBIN,true,memory,2,YSB_memory,5.933848,169643789.32524055,1685247.0774445182
8,PER_THREAD_ROUND_ROBIN,true,memory,3,YSB_memory,5.955533,169026090.52791747,1679110.8369309683
8,PER_THREAD_SMALLEST_QUEUE,false,memory,1,YSB_memory,4.756551,211632432.82790408,2102363.6664465494
8,PER_THREAD_SMALLEST_QUEUE,false,memory,2,YSB_memory,4.69096,214591567.61089417,2131759.8103586473
8,PER_THREAD_SMALLEST_QUEUE,false,memory,3,YSB_memory,4.680234,215083361.21655458,2136645.3044869127
8,PER_THREAD_SMALLEST_QUEUE,true,memory,1,YSB_memory,4.820401,208829194.91552672,2074516.207261595
8,PER_THREAD_SMALLEST_QUEUE,true,memory,2,YSB_memory,4.833179,208277090.5029588,2069031.5835602197
8,PER_THREAD_SMALLEST_QUEUE,true,memory,3,YSB_memory,4.930765,204155026.65407902,2028082.863409633
