timestamp,total_water_quantity_ticks,total_water_products_ticks,total_water_rinse_ticks,total_water_cleaning_ticks,rfu,total_coffee_bean_quantity_g,total_coffee_beans_left_rear_g,total_coffee_beans_right_front_g,total_coffee_powder_chute_g,cleaning_counter,brewcycles_left,brewcycles_right,cycles_rinse_clean_left,cycles_rinse_clean_right,time_milk_cs,heating_time_boiler_left_cs,heating_time_boiler_right_cs,time_hot_water_cs,time_steam_left_cs,time_steam_right_cs,heat_time_steam_boiler_1_cs,heat_time_steam_boiler_2_cs,time_air_pump_cs,milk_cycles_left,milk_cycles_right,reset_date_day,reset_date_month,reset_date_year,rfu2,reset_time_second,reset_time_minute,reset_time_hour,rfu3,time_milk_steam_left_cs,time_milk_steam_right_cs,total_coffee_beans_grinder_adjustment_g,absolute_counter,time_powder_cs,total_powder_quantity_left_g,total_powder_quantity_right_g,total_coffee_beans_3_g,total_coffee_beans_4_g
1782480998,462282,163241,109362,188459,0,20910,8382,10633,0,72,1466,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1948,0,0,0,1564,0
1782481409,462323,163282,109362,188459,0,20919,8391,10633,0,72,1467,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1949,0,0,0,1564,0
1782481879,462364,163323,109362,188459,0,20928,8400,10633,0,72,1468,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1950,0,0,0,1564,0
1782482146,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482150,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482152,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482154,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482157,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482163,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482166,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482172,462499,163458,109362,188459,0,20944,8400,10649,0,72,1469,0,371,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482174,462630,163458,109493,188459,0,20944,8400,10649,0,72,1469,0,372,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146208,0,331,1951,0,0,0,1564,0
1782482177,462630,163458,109493,188459,0,20944,8400,10649,0,72,1469,0,372,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146251,0,331,1951,0,0,0,1564,0
1782482182,462630,163458,109493,188459,0,20944,8400,10649,0,72,1469,0,372,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146251,0,331,1951,0,0,0,1564,0
1782482186,462630,163458,109493,188459,0,20944,8400,10649,0,72,1469,0,372,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146251,0,331,1951,0,0,0,1564,0
1782482432,462761,163458,109624,188459,0,20944,8400,10649,0,72,1469,0,373,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146294,0,331,1951,0,0,0,1564,0
1782482434,462761,163458,109624,188459,0,20944,8400,10649,0,72,1469,0,373,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146294,0,331,1951,0,0,0,1564,0
1782482437,462761,163458,109624,188459,0,20944,8400,10649,0,72,1469,0,373,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146294,0,331,1951,0,0,0,1564,0
1782482442,462761,163458,109624,188459,0,20944,8400,10649,0,72,1469,0,373,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146294,0,331,1951,0,0,0,1564,0
1782482447,462761,163458,109624,188459,0,20944,8400,10649,0,72,1469,0,373,0,86069,0,0,104,0,0,0,0,66314,559,0,12,6,25,0,23,36,15,0,146294,0,331,1951,0,0,0,1564,0
