Repo Name,PRs Opened (2024-10-01 to 2024-10-28),PRs Opened Int (2024-10-01 to 2024-10-28),PRs Opened Ext (2024-10-01 to 2024-10-28),PRs Opened FTC (2024-10-01 to 2024-10-28),PRs Merged (2024-10-01 to 2024-10-28),PR turnaround time (2024-10-01 to 2024-10-28),PRs Closed (2024-10-01 to 2024-10-28),PRs Open (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (2024-10-01 to 2024-10-28),Issues Opened Int (2024-10-01 to 2024-10-28),Issues Opened Ext (2024-10-01 to 2024-10-28),Issues Opened FTC (2024-10-01 to 2024-10-28),Issues Closed (2024-10-01 to 2024-10-28),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>2024-10-01),% Stale Issues (all time),Old Issues (>2024-10-28),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (2024-10-01 to 2024-10-28),Contributors Int (2024-10-01 to 2024-10-28),Contributors Ext (2024-10-01 to 2024-10-28),Contributors FTC (2024-10-01 to 2024-10-28),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
nebulastream-dependencies,0,0,0,0,1,22,0,2,15,26,26,0,0,0,0,0,0,16,16,0,5,0,0%,0,0%,36%,238,0,0,0,0,14,14,0,0,18,0
NePSL,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,6,0
nebulastream-smart-city,0,0,0,0,0,N/A,0,0,4,46,46,0,0,0,0,0,0,112,112,0,37,0,0%,0,0%,36%,45,0,0,0,0,6,6,0,0,12,0
nesviz,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,9,0
LightSaber,0,0,0,0,0,N/A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,0,9,0
nebulastream-docs,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,0,0%,0,0%,N/A,N/A,0,0,0,0,1,1,0,0,6,0
folly,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
benchmark-baselines,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,4,4,0,4,0,0%,0,0%,N/A,N/A,0,0,0,0,2,2,0,0,15,0
nesviz_desktop,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0
bifold_paper,0,0,0,0,0,N/A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,0,15,0
documentation,0,0,0,0,0,N/A,0,6,3,145,60,85,0,0,0,0,0,38,36,2,9,0,0%,0,0%,41%,29,0,0,0,0,21,18,3,0,14,0
nebulastream-dev-builds,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,6,0
nebulastream-tutorial,0,0,0,0,0,N/A,0,0,1,14,14,0,0,0,0,0,0,22,20,2,0,0,N/A,0,N/A,36%,102,0,0,0,0,8,6,2,5,18,0
compiler-paper,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,15,0
wattsen,0,0,0,0,0,N/A,0,1,4,3,0,3,0,0,0,0,0,7,0,7,5,0,0%,0,0%,100%,6,0,0,0,0,1,0,1,0,7,0
babelfish-compiler,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,15,0
flounder-compiler,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,8,0
DynamicGraphRepresentationLearningBackup,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
benchmark-ui,0,0,0,0,0,N/A,0,1,7,6,6,0,0,0,0,0,0,6,0,6,6,0,0%,0,0%,N/A,N/A,0,0,0,0,2,1,2,0,15,0
clang-binaries,0,0,0,0,0,N/A,0,2,20,3,3,0,0,0,0,0,0,2,2,0,2,0,0%,0,0%,N/A,N/A,0,0,0,0,4,4,0,0,15,0
testCoverage,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,7,0
tpch-dbgen,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
dyncall,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,8,0
babelfish-isolate,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,10,0
